Order-Id,Item-id,Product-Id,Quantity,Sales-Id,Customer-Id,Sales-Price-Per-Prod,Market-Segment
0,0,5,12,5,20,189,retail
1,1,5,28,2,27,202,retail
2,2,1,18,1,23,232,retail
3,3,12,22,1,12,218,software
4,4,9,2,8,28,95,financial
5,5,17,26,8,24,291,software
6,6,3,17,9,4,236,retail
7,7,17,21,3,1,214,software
8,8,9,25,5,10,126,financial
9,9,11,21,2,12,186,pharmaceutical
10,10,18,2,0,28,81,software
11,11,15,3,6,13,277,software
12,12,17,9,1,15,257,retail
13,13,0,1,3,25,211,education
14,14,7,25,2,12,223,software
15,15,9,17,0,16,98,realestate
16,16,17,26,5,5,271,realestate
17,17,6,10,5,29,69,software
18,18,3,25,0,29,186,pharmaceutical
19,19,12,9,3,6,104,financial
20,20,2,16,0,9,284,software
21,21,19,28,2,5,196,software
22,22,9,4,0,8,52,pharmaceutical
23,23,10,20,8,29,105,retail
24,24,0,3,5,10,157,software
25,25,15,21,5,7,397,retail
26,26,18,8,1,29,125,education
27,27,0,29,6,28,139,retail
28,28,4,26,4,9,192,software
29,29,2,12,8,1,348,retail
30,30,1,11,3,13,229,pharmaceutical
31,31,7,9,8,11,150,retail
32,32,1,5,0,28,270,education
33,33,4,16,2,28,252,education
34,34,17,28,4,13,357,realestate
35,35,11,8,5,21,152,education
36,36,7,23,2,16,143,realestate
37,37,18,28,5,14,98,retail
38,38,8,25,3,12,247,realestate
39,39,16,15,9,18,181,financial
40,40,19,26,5,5,119,realestate
41,41,7,28,2,29,322,pharmaceutical
42,42,6,1,0,9,62,pharmaceutical
43,43,16,17,0,19,221,software
44,44,17,25,8,1,348,education
45,45,0,23,1,18,137,software
46,46,3,4,5,24,249,financial
47,47,3,15,4,26,267,realestate
48,48,12,24,3,3,173,software
49,49,18,0,7,20,101,pharmaceutical
50,50,1,12,1,25,265,pharmaceutical
51,51,14,3,8,14,330,software
52,52,1,16,1,5,261,realestate
53,53,8,18,6,24,162,financial
54,54,11,21,4,17,116,pharmaceutical
55,55,17,4,9,11,204,financial
56,56,19,12,6,18,73,realestate
57,57,13,7,7,9,222,retail
58,58,8,20,0,5,207,software
59,59,8,28,3,7,165,realestate
60,60,2,16,2,26,300,financial
61,61,13,17,3,20,176,financial
62,62,4,24,0,17,200,software
63,63,11,7,6,8,221,software
64,64,3,11,8,26,234,retail
65,65,5,21,5,21,101,software
66,66,10,7,9,9,113,pharmaceutical
67,67,2,18,8,3,366,retail
68,68,16,2,9,22,232,education
69,69,9,10,8,20,62,software
70,70,5,3,5,7,211,retail
71,71,19,17,4,2,200,pharmaceutical
72,72,10,9,1,15,168,realestate
73,73,16,6,1,14,158,education
74,74,8,2,6,0,213,financial
75,75,8,2,9,6,265,retail
76,76,9,5,7,8,66,software
77,77,3,26,4,17,169,education
78,78,9,16,4,13,82,software
79,79,5,21,9,8,214,pharmaceutical
80,80,15,28,1,8,349,software
81,81,8,25,8,4,252,pharmaceutical
82,82,6,10,0,13,69,financial
83,83,15,27,4,3,317,retail
84,84,6,21,0,8,113,education
85,85,15,24,8,18,359,pharmaceutical
86,86,13,16,8,5,100,pharmaceutical
87,87,12,20,5,0,105,financial
88,88,11,0,6,27,102,pharmaceutical
89,89,19,24,0,25,172,education
90,90,10,6,6,8,159,software
91,91,11,29,9,5,202,realestate
92,92,3,1,3,18,259,pharmaceutical
93,93,13,9,3,4,126,realestate
94,94,14,13,4,12,250,realestate
95,95,9,14,6,3,82,realestate
96,96,1,2,6,3,172,software
97,97,1,25,3,8,260,pharmaceutical
98,98,3,17,2,16,232,software
99,99,1,26,5,25,264,pharmaceutical
100,100,17,26,3,14,343,education
101,101,3,8,2,19,255,software
102,102,11,16,2,16,177,retail
103,103,4,10,2,23,261,financial
104,104,1,22,9,2,177,software
105,105,19,28,7,20,168,education
106,106,3,9,9,9,209,financial
107,107,1,18,1,22,264,financial
108,108,11,29,1,11,112,software
109,109,14,22,8,6,308,realestate
110,110,13,23,5,3,213,education
111,111,8,3,8,16,216,financial
112,112,0,28,0,8,128,software
113,113,8,1,0,19,241,education
114,114,13,23,6,28,219,financial
115,115,7,16,2,0,200,pharmaceutical
116,116,16,7,5,22,317,software
117,117,2,25,6,25,284,realestate
118,118,5,16,0,22,153,retail
119,119,13,25,3,22,115,retail
120,120,14,0,4,27,211,education
121,121,8,17,4,19,210,education
122,122,3,14,2,25,286,realestate
123,123,3,28,8,5,204,financial
124,124,14,1,5,24,204,financial
125,125,4,19,1,27,202,financial
126,126,13,8,9,0,194,education
127,127,17,11,7,26,362,financial
128,128,2,2,2,27,357,pharmaceutical
129,129,19,22,2,9,86,realestate
130,130,4,14,0,10,208,retail
131,131,14,18,4,25,386,pharmaceutical
132,132,6,29,4,4,114,realestate
133,133,1,23,6,22,198,realestate
134,134,6,28,8,3,114,education
135,135,17,17,8,20,351,education
136,136,9,18,2,14,94,software
137,137,16,26,7,16,168,retail
138,138,3,22,3,11,269,pharmaceutical
139,139,11,21,2,16,169,software
140,140,1,22,3,2,251,realestate
141,141,14,6,8,12,264,software
142,142,3,6,9,4,277,education
143,143,3,16,8,9,240,financial
144,144,14,14,6,9,254,education
145,145,7,6,4,14,188,realestate
146,146,2,15,8,9,361,retail
147,147,13,8,1,4,105,realestate
148,148,4,15,4,24,266,financial
149,149,7,11,9,13,177,software
150,150,16,13,5,20,218,pharmaceutical
151,151,3,17,5,6,188,pharmaceutical
152,152,11,2,9,10,211,financial
153,153,5,15,6,8,154,retail
154,154,7,11,3,20,160,financial
155,155,2,6,6,14,279,realestate
156,156,8,12,5,29,256,realestate
157,157,1,16,4,5,276,education
158,158,19,26,2,6,162,software
159,159,11,18,0,22,219,retail
160,160,14,23,2,15,304,software
161,161,4,20,8,15,184,pharmaceutical
162,162,10,4,8,14,97,retail
